Season,TeamA,TeamB,Label,Diff_RegGames,Diff_RegWinRate,Diff_RegPtsFor,Diff_RegPtsAgainst,Diff_RegScoreDiff,Diff_RegLateWinRate,Diff_RegLateScoreDiff,Diff_FGPct,Diff_FG3Pct,Diff_FTPct,Diff_PossProxy,Diff_SeedNum,Diff_MasseyMean,Diff_MasseyStd,Diff_MasseyBest,Diff_PriorTGames,Diff_PriorTWinRate
1985,1116,1234,1,3,-0.030303030303030276,-4.400000000000006,2.4303030303030297,-6.83030303030303,0.08333333333333337,1.25,,,,,1.0,,,,0.0,
1985,1120,1345,1,4,-0.05931034482758624,1.2248275862068851,1.3351724137931171,-0.11034482758620667,0.0,2.5,,,,,5.0,,,,0.0,
1985,1207,1250,1,-2,0.5466155810983397,9.982120051085573,-10.132822477650066,20.114942528735632,0.49999999999999994,19.833333333333332,,,,,-15.0,,,,0.0,
1985,1229,1425,1,-1,0.062169312169312096,3.1997354497354564,1.022486772486772,2.177248677248677,0.0,2.2500000000000004,,,,,1.0,,,,0.0,
1985,1242,1325,1,3,0.02592592592592602,8.477777777777774,7.400000000000006,1.0777777777777784,-0.08333333333333337,-2.083333333333333,,,,,-11.0,,,,0.0,
1985,1246,1449,1,-3,-0.13824884792626735,0.47811059907834874,4.66935483870968,-4.191244239631336,-0.08333333333333326,-1.6666666666666665,,,,,7.0,,,,0.0,
1985,1256,1338,1,2,0.35164835164835173,7.269230769230774,-2.832417582417591,10.101648351648352,0.33333333333333326,8.583333333333334,,,,,-7.0,,,,0.0,
1985,1233,1260,0,-1,0.028735632183907955,-11.38505747126436,-11.963218390804599,0.5781609195402302,-0.25,-6.000000000000001,,,,,9.0,,,,0.0,
1985,1292,1314,0,-5,-0.24193548387096775,-7.5111662531017345,0.018610421836228852,-7.529776674937966,0.0,-5.25,,,,,13.0,,,,0.0,
1985,1323,1333,1,-1,-0.009852216748768461,7.960591133004932,5.044334975369459,2.916256157635468,0.16666666666666663,3.916666666666666,,,,,-3.0,,,,0.0,
1985,1235,1326,0,1,-0.09236453201970451,-5.854679802955673,-4.934729064039416,-0.9199507389162562,-0.08333333333333337,-1.1666666666666665,,,,,9.0,,,,0.0,
1985,1299,1328,0,-6,-0.16666666666666674,-18.875,-9.075000000000003,-9.8,-0.16666666666666663,-3.083333333333334,,,,,15.0,,,,0.0,
1985,1330,1374,0,-1,-0.11264367816091947,-2.656321839080462,4.0448275862068925,-6.701149425287356,0.16666666666666669,0.9166666666666666,,,,,7.0,,,,0.0,
1985,1380,1385,0,-2,-0.2571428571428571,8.652380952380952,13.278571428571425,-4.626190476190476,-0.16666666666666674,0.75,,,,,15.0,,,,0.0,
1985,1396,1439,1,2,0.12388250319284799,-15.52745849297574,-11.530012771392087,-3.997445721583653,0.25,-0.75,,,,,-1.0,,,,0.0,
1985,1361,1424,0,0,-0.1333333333333333,-1.9000000000000057,-0.3999999999999915,-1.5,-0.16666666666666663,-5.083333333333333,,,,,9.0,,,,0.0,
1985,1104,1112,1,3,0.033333333333333326,1.981481481481481,1.3666666666666671,0.6148148148148147,-0.08333333333333337,-1.0,,,,,-3.0,,,,0.0,
1985,1130,1403,1,-3,-0.14323607427055696,5.781167108753323,6.684350132625994,-0.9031830238726792,-0.25,-0.833333333333333,,,,,5.0,,,,0.0,
1985,1181,1337,1,2,0.017879948914431676,3.5747126436781542,-2.3627075351213165,5.937420178799489,-0.16666666666666674,3.999999999999999,,,,,-11.0,,,,0.0,
1985,1208,1455,1,-2,0.11749680715197963,0.48914431673053116,-3.676883780332048,4.166028097062579,0.0,-3.416666666666667,,,,,-5.0,,,,0.0,
1985,1210,1273,1,3,0.05990783410138245,-8.132488479262676,-9.4873271889401,1.35483870967742,-0.08333333333333337,-3.0,,,,,-13.0,,,,0.0,
1985,1228,1318,1,3,0.027649769585253448,-8.881336405529964,-11.966589861751153,3.0852534562211984,-0.33333333333333337,-2.666666666666666,,,,,-11.0,,,,0.0,
1985,1268,1275,1,5,0.023809523809523725,-0.9783549783549859,-2.3982683982683994,1.4199134199134198,-0.25,-1.9166666666666665,,,,,-7.0,,,,0.0,
1985,1272,1335,1,3,0.39655172413793105,6.791777188328922,-2.57957559681698,9.37135278514589,0.08333333333333337,1.5,,,,,-13.0,,,,0.0,
1985,1192,1276,0,0,-0.2142857142857143,-11.857142857142861,-4.392857142857153,-7.4642857142857135,-0.16666666666666663,-6.416666666666667,,,,,15.0,,,,0.0,
1985,1261,1298,0,0,-0.1428571428571428,-4.142857142857139,1.7857142857142918,-5.928571428571428,-0.25,-7.166666666666668,,,,,-9.0,,,,0.0,
