Season,Label,Diff_FG3Pct,Diff_FGPct,Diff_FTPct,Diff_PossProxy,Diff_PriorTGames,Diff_PriorTWinRate,Diff_RegGames,Diff_RegLateScoreDiff,Diff_RegLateWinRate,Diff_RegPtsAgainst,Diff_RegPtsFor,Diff_RegScoreDiff,Diff_RegWinRate,Diff_SeedNum,Gender
1985,1,,,,,0.0,,3,1.25,0.08333333333333337,2.4303030303030297,-4.400000000000006,-6.83030303030303,-0.030303030303030276,1.0,M
1985,1,,,,,0.0,,4,2.5,0.0,1.3351724137931171,1.2248275862068851,-0.11034482758620667,-0.05931034482758624,5.0,M
1985,1,,,,,0.0,,-2,19.833333333333332,0.49999999999999994,-10.132822477650066,9.982120051085573,20.114942528735632,0.5466155810983397,-15.0,M
1985,1,,,,,0.0,,-1,2.2500000000000004,0.0,1.022486772486772,3.1997354497354564,2.177248677248677,0.062169312169312096,1.0,M
1985,1,,,,,0.0,,3,-2.083333333333333,-0.08333333333333337,7.400000000000006,8.477777777777774,1.0777777777777784,0.02592592592592602,-11.0,M
1985,1,,,,,0.0,,-3,-1.6666666666666665,-0.08333333333333326,4.66935483870968,0.47811059907834874,-4.191244239631336,-0.13824884792626735,7.0,M
1985,1,,,,,0.0,,2,8.583333333333334,0.33333333333333326,-2.832417582417591,7.269230769230774,10.101648351648352,0.35164835164835173,-7.0,M
1985,0,,,,,0.0,,-1,-6.000000000000001,-0.25,-11.963218390804599,-11.38505747126436,0.5781609195402302,0.028735632183907955,9.0,M
1985,0,,,,,0.0,,-5,-5.25,0.0,0.018610421836228852,-7.5111662531017345,-7.529776674937966,-0.24193548387096775,13.0,M
1985,1,,,,,0.0,,-1,3.916666666666666,0.16666666666666663,5.044334975369459,7.960591133004932,2.916256157635468,-0.009852216748768461,-3.0,M
1985,0,,,,,0.0,,1,-1.1666666666666665,-0.08333333333333337,-4.934729064039416,-5.854679802955673,-0.9199507389162562,-0.09236453201970451,9.0,M
1985,0,,,,,0.0,,-6,-3.083333333333334,-0.16666666666666663,-9.075000000000003,-18.875,-9.8,-0.16666666666666674,15.0,M
1985,0,,,,,0.0,,-1,0.9166666666666666,0.16666666666666669,4.0448275862068925,-2.656321839080462,-6.701149425287356,-0.11264367816091947,7.0,M
1985,0,,,,,0.0,,-2,0.75,-0.16666666666666674,13.278571428571425,8.652380952380952,-4.626190476190476,-0.2571428571428571,15.0,M
