ID,Season,TeamA,TeamB,Label,Diff_Games,Diff_Wins,Diff_PtsFor,Diff_PtsAgainst,Diff_FGM,Diff_FGA,Diff_FGM3,Diff_FGA3,Diff_FTM,Diff_FTA,Diff_OR,Diff_DR,Diff_Ast,Diff_TO,Diff_Stl,Diff_Blk,Diff_PF,Diff_NumOT,Diff_WinRate,Diff_ScoreDiff,Diff_FGPct,Diff_FG3Pct,Diff_FTPct,Diff_TotalReb,Diff_Poss,Diff_OffEff,Diff_DefEff,Diff_NetEff,Diff_TourneyApps,Diff_TourneyWinRate,Diff_TourneyAvgRound,Diff_TourneyMaxRound,Diff_TourneyChampions,Diff_TourneyFinalFour,Diff_TourneySweetSixteen,Diff_TourneyAvgSeed,Diff_WinRate_H,Diff_WinRate_A,Diff_WinRate_N,Diff_HomeAdvantage,Diff_ConfStrengthIndex,Diff_ConfAvgScoreDiff,Diff_LateWinRate,Diff_LastNWinRate,Diff_LastNScoreDiff,Diff_WinRateTrend,Diff_RecentWinRate,Diff_SeedNum,Diff_SeedWinRate,Diff_RankMean,Diff_RankMedian,Diff_AvgRankPct,Diff_MidSeasonChange,Diff_CoachTourneyWins,Diff_CoachTourneyWinRate
2022_1103_1417,2022,1103,1417,0.0,-1.0,-3.0,-7.084677419354833,-0.6512096774193594,-4.356854838709676,-10.032258064516128,0.834677419354839,2.146169354838708,0.7943548387096779,2.338709677419356,-2.097782258064516,-0.5161290322580641,-2.421370967741936,1.963709677419354,-1.516129032258065,-0.184475806451613,-0.2822580645161299,-0.12399193548387097,-0.07157258064516125,-6.433467741935473,0.0031505926993852795,0.0036547619047619384,-0.04453602209020169,-2.61391129032258,-4.941733870967752,-2.52465045654489,6.220324554011768,-8.744975010556658,-23.0,-0.6588235294117647,-1.1882352941176473,-5.0,-2.0,-7.0,-30.0,8.84201680672269,-0.16410256410256407,0.0,0.06666666666666665,-0.16410256410256407,-0.1307840870722471,-3.8209736504825442,0.03463203463203457,0.0,-4.0,0.3346320346320346,0.1428571428571428,9.0,-0.4142506142506142,108.42857142857142,119.0,-0.2980125934671387,0.0,-12.0,-0.11612903225806448
2022_1104_1323,2022,1104,1323,0.0,1.0,-2.0,8.033266129032256,9.470766129032256,2.075604838709676,6.975806451612904,0.216733870967742,6.061491935483872,3.665322580645162,5.643145161290322,5.625,-0.7973790322580641,0.4637096774193541,4.44858870967742,1.935483870967742,2.880040322580645,5.59375,-0.03326612903225806,-0.08366935483870963,-1.4375,-0.01790956474852473,-0.06876999310042026,-0.029443899531926943,4.827620967741936,8.282379032258063,-1.297100425982208,1.4725661260652032,-2.7696665520474113,2.0,0.08823529411764708,0.28328173374612997,1.0,0.0,1.0,8.0,-1.007223942208463,-0.16862745098039222,-0.21969696969696972,0.5,0.0510695187165775,0.04548999334580739,1.722663535599969,-0.29239766081871343,-0.19999999999999996,-9.3,-0.49477861319966576,-0.2121212121212121,-5.0,0.07516497666183813,-25.71428571428571,-29.0,0.07067715833949595,0.0,-2.0,0.11904761904761907
2022_1112_1222,2022,1112,1222,0.0,0.0,2.0,8.735294117647058,8.647058823529413,2.2941176470588225,1.352941176470587,-0.23529411764705888,-1.5588235294117645,4.382352941176471,4.3235294117647065,-1.7647058823529402,3.852941176470587,3.1764705882352935,2.1470588235294112,-1.5294117647058814,0.5,-0.911764705882355,-0.05882352941176471,0.05882352941176472,0.08823529411764497,0.02703936808600499,0.013510285781567988,0.06912077627590574,2.088235294117652,7.167058823529402,0.7176157355205675,3.0971837238134725,-2.379567988292905,25.0,-0.0017543859649122862,0.019298245614034926,0.0,1.0,3.0,25.0,-0.2175438596491226,0.05882352941176472,0.050000000000000044,0.1428571428571429,0.008823529411764675,7.899536455679979e-05,-0.15703753791856023,0.06265664160401008,0.0,-3.799999999999999,0.006246385193753645,0.14761904761904765,-4.0,0.295394395787291,-6.142857142857142,-4.0,0.016879224671432436,0.0,-25.0,-0.007843137254901933
2022_1112_1395,2022,1112,1395,1.0,2.0,11.0,16.465073529411768,2.529411764705884,5.1599264705882355,3.976102941176471,2.202205882352941,3.5680147058823515,3.9430147058823533,3.6525735294117645,-0.9650735294117645,4.071691176470587,6.2867647058823515,-0.5275735294117645,0.4246323529411766,1.4871323529411766,1.158088235294116,-0.0018382352941176475,0.2867647058823529,13.935661764705884,0.055535224798040794,0.05112561883310657,0.06965088843334322,3.106617647058826,6.020735294117642,14.144574825237328,-4.472591700806959,18.617166526044286,30.0,0.2982456140350877,0.9192982456140351,4.0,2.0,6.0,36.0,-3.128654970760234,0.23529411764705888,0.35,0.4,-0.1147058823529411,-0.1318531948389675,-3.3992385728729393,0.4285714285714286,0.5,12.0,0.41458541458541454,0.5047619047619047,-8.0,0.4506371538452265,-38.0,-36.0,0.1044410135319227,0.0,-8.0,0.11724137931034478
2022_1112_1460,2022,1112,1460,1.0,1.0,11.0,9.407308377896612,-4.076648841354725,3.01693404634581,2.594474153297682,1.4616755793226384,2.8208556149732615,1.9117647058823533,3.286096256684491,1.4714795008912667,5.504456327985739,6.123885918003564,0.7896613190730832,0.9483065953654188,2.7967914438502675,1.9554367201426004,0.029411764705882353,0.30570409982174684,13.483957219251337,0.02943232282317143,0.02420368594865241,-0.028106398430765567,6.9759358288770095,3.358538324420664,7.908196638981153,-10.238448080040527,18.14664471902168,32.0,0.431578947368421,1.4526315789473683,5.0,2.0,6.0,36.0,-11.884210526315789,0.2142857142857143,0.25,0.6,-0.0357142857142857,0.18987938685051586,4.5655873705464165,0.2047619047619048,0.20000000000000007,4.300000000000001,-0.25677655677655675,0.16410256410256407,-15.0,0.6304821150855366,-171.85714285714286,-177.0,0.4723263749237775,0.0,5.0,0.43333333333333335
2022_1116_1181,2022,1116,1181,0.0,-1.0,-3.0,-3.2370766488413523,1.3983957219251408,-3.040106951871657,-0.15864527629233294,-1.8128342245989302,-1.4777183600713002,4.655971479500893,5.616755793226382,0.285204991087344,-0.8386809269162221,-2.7032085561497308,2.239750445632799,1.2566844919786098,-1.2593582887700538,3.2014260249554365,0.031194295900178255,-0.06595365418894827,-4.635472370766493,-0.04888334946757017,-0.06115552465917434,0.024484593712266967,-0.5534759358288781,4.267272727272726,-11.210954425235016,-3.7726017815896853,-7.438352643645331,-14.0,-0.132684998882182,-0.5718756986362621,0.0,-7.0,-18.0,-50.0,3.287279230941203,0.06140350877192979,-0.26262626262626265,-0.20000000000000007,0.32402977139819245,0.04548999334580739,1.722663535599969,0.027568922305764465,-0.10000000000000009,-4.2,0.2363601310969733,-0.0357142857142857,2.0,-0.09622557622557626,5.285714285714285,5.0,-0.014527680112095709,0.0,-91.0,-0.1459923664122137
2022_1116_1211,2022,1116,1211,1.0,4.0,-1.0,-10.888192267502617,3.200626959247657,-6.2946708463949825,-1.8766980146290493,-2.015673981191222,-1.3803552769070002,3.7168234064785803,4.383490073145246,1.3521421107628004,-4.480668756530825,-4.012539184952976,0.5308254963427377,1.0721003134796243,-1.5423197492163014,1.434691745036572,0.06060606060606061,-0.13897596656217348,-14.088819226750275,-0.08754194260485648,-0.07193532983150286,0.022314850622426996,-3.1285266457680265,-0.7692789968651965,-13.632300994919888,5.303618002510817,-18.935918997430704,-3.0,-0.00021450021450020174,0.08000858000857969,0.0,0.0,1.0,-3.0,0.08000858000858013,-0.04643962848297212,-0.2777777777777778,-0.2333333333333334,0.23133814929480567,0.07321289469243464,1.995810259638286,-0.14802631578947367,-0.20000000000000007,-14.5,-0.01615818392134183,-0.15000000000000002,3.0,-0.21623150083492237,16.285714285714285,16.0,-0.04475827203099936,0.0,-34.0,-0.0126811594202898
2022_1116_1308,2022,1116,1308,1.0,4.0,2.0,5.387669801462906,3.200626959247657,1.429467084639498,5.088819226750267,-1.1536050156739819,-2.0355276907001034,3.68234064785789,3.3145245559038656,-0.06165099268547536,0.002089864158829613,0.4702194357366771,-0.9519331243469171,3.037617554858935,-0.16300940438871514,0.5381400208986413,0.026123301985370953,-0.03552769070010453,2.1870428422152486,-0.014537267080745375,-0.0232339852247756,0.06031569689395,-0.059561128526645746,5.656927899686522,-0.8308351289490901,-3.1091013679223494,2.2782662389732593,8.0,0.4349206349206349,0.9246031746031744,3.0,2.0,5.0,19.0,-6.325396825396825,0.06140350877192979,-0.19444444444444442,-0.20000000000000007,0.2558479532163742,0.20654183926948333,4.842294984333524,0.011695906432748537,0.0,-4.2,0.11559201032885247,0.0,-8.0,0.26731183874041015,-55.28571428571428,-61.0,0.1519616746889474,0.0,9.0,0.48214285714285715
2022_1116_1436,2022,1116,1436,1.0,1.0,-2.0,2.1893939393939377,7.857954545454547,-0.8011363636363633,5.012310606060609,-2.4488636363636367,-3.211174242424242,6.2405303030303045,8.157196969696969,3.9157196969696972,-0.5776515151515156,-0.9715909090909083,2.8077651515151523,2.5085227272727275,1.7755681818181817,2.8797348484848477,0.029356060606060608,-0.08617424242424243,-5.668560606060609,-0.05403569421023047,-0.061096889007318356,0.006462709996326255,3.33806818181818,7.493522727272733,-8.664733712303459,1.2756716685045433,-9.940405380808002,14.0,0.46825396825396826,1.1746031746031744,4.0,2.0,5.0,20.0,-9.158730158730158,-0.10526315789473684,-0.15873015873015872,-0.06666666666666665,0.053467000835421885,0.24292352596388045,5.915799473165459,-0.16052631578947363,-0.20000000000000007,-17.4,-0.2081453634085213,-0.1785714285714286,-9.0,0.4142506142506142,-44.14285714285714,-47.0,0.1213440239414264,0.0,9.0,0.48214285714285715
2022_1120_1240,2022,1120,1240,1.0,3.0,8.0,7.71875,0.4105603448275872,2.868534482758619,9.079741379310342,-0.7715517241379306,2.099137931034484,2.7532327586206904,2.576508620689655,2.3221982758620694,0.2015086206896548,1.0140086206896548,-0.8265086206896548,2.7467672413793105,4.84375,4.117456896551724,0.021551724137931036,0.18857758620689657,7.308189655172413,-0.020598558679660983,-0.062025177887246874,0.04943302188315113,2.5237068965517224,7.064698275862071,0.2806390704380277,-8.989079048759805,9.269718119197833,11.0,0.6388888888888888,1.1388888888888888,4.0,0.0,2.0,11.0,-9.222222222222221,0.3076923076923077,0.05714285714285705,0.16666666666666663,0.25054945054945066,0.2640915432429044,6.621523841364105,0.0,0.0,1.2999999999999998,-0.4740259740259741,0.036363636363636376,-13.0,0.6195670995670995,-137.85714285714286,-141.0,0.3788765347206906,0.0,20.0,0.39999999999999997
